corso_codice;materia_codice;materia_descrizione;url;tipo;componente_id
8005;66600;FISICA E STATISTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366357;;366357
8005;66601;CHIMICA (C.I.);;;366361
8005;65931;CHIMICA GENERALE ED INORGANICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366364;modulo;366364
8005;55393;CHIMICA ORGANICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366365;modulo;366365
8005;66607;MORFOLOGIA CELLULARE E D'ORGANO (C.I.);;;366389
8005;65683;BIOLOGIA CELLULARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366390;modulo;366390
8005;66606;ANATOMIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366391;modulo;366391
8005;66606;ANATOMIA (4);;modulo;414693
8005;66608;PROPRIETA' INTELLETTUALE E BIOETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366395;;366395
8005;66609;BIOCHIMICA;;;366396
8005;66610;CHIMICA BIOANALITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366399;;366399
8005;66611;BIOLOGIA MOLECOLARE (C.I.);;;366400
8005;66612;BIOLOGIA MOLECOLARE GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366401;modulo;366401
8005;66613;BIOLOGIA MOLECOLARE EUCARIOTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366402;modulo;366402
8005;66614;MICROBIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366403;;366403
8005;66615;GENETICA (C.I.);;;366404
8005;66616;GENETICA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366406;modulo;366406
8005;66619;GENETICA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366407;modulo;366407
8005;66620;FISIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366410;;366410
8005;66622;BIOTECNOLOGIE DELLE FERMENTAZIONI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366412;;366412
8005;66625;BIOLOGIA STRUTTURALE (C.I.);;;366417
8005;66626;BIOCHIMICA DELLE PROTEINE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366418;modulo;366418
8005;66627;BIOLOGIA COMPUTAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366419;modulo;366419
8005;66629;PATOLOGIA GENERALE E IMMUNOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366422;;366422
8005;66631;BIOTECNOLOGIE FARMACOLOGICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366423;;366423
8005;66632;BIOTECNOLOGIE GENETICHE VEGETALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366427;;366427
8005;66633;BIOTECNOLOGIE E MODELLI ANIMALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366428;;366428
8005;66642;BIOTECNOLOGIE CELLULARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366445;;366445
8005;66644;BIOTECNOLOGIE VIRALI E MICROBICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366447;;366447
8005;66645;MICROBIOLOGIA MEDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366449;;366449
8005;66647;CHIMICA FARMACEUTICA E TECNOLOGIE PER LA PROTEOMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366450;;366450
8005;61682;DIAGNOSTICA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366463;;366463
8005;66654;BIOTECNOLOGIE AGROAMBIENTALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366464;;366464
8005;66656;BIOTECNOLOGIE IN VITRO DEI TESSUTI UMANI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366466;;366466
8005;66657;BIOTECNOLOGIE DELLA PRODUZIONE ANIMALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/366467;;366467
8005;12942;FISIOLOGIA MOLECOLARE DELLE PIANTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369489;;369489
8005;78783;BIODIVERSITA' ED EVOLUZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402294;;402294
8005;78785;MATEMATICA E INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402296;;402296
8005;78785;MATEMATICA E INFORMATICA (4);;modulo;403542
8005;78788;GENOMICA E MEDICINA PERSONALIZZATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402299;;402299
8005;72822;RIDUZIONE MEMBRI SENATO ACCADEMICO O CONSIGLIO DI AMMINISTRAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/420893;;420893
8012;54576;CITOLOGIA E ISTOLOGIA;;;324243
8012;451;GENETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324287;;324287
8012;443;FISIOLOGIA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324294;;324294
8012;61;BIOCHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324297;;324297
8012;248;ECOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324369;;324369
8012;498;IGIENE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324460;;324460
8012;8632;ECOLOGIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/324510;;324510
8012;58157;ABILITA' INFORMATICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/328022;;328022
8012;26338;IDONEITA' LINGUA INGLESE B - 1;;;328053
8012;13395;BOTANICA EVOLUZIONISTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/349855;;349855
8012;37637;ZOOLOGIA EVOLUZIONISTICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/349857;;349857
8012;7970;ZOOLOGIA DEI VERTEBRATI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/349877;;349877
8012;66955;ZOOLOGIA;;;367372
8012;66907;CHIMICA GENERALE;;;367403
8012;66979;FONDAMENTI DI MATEMATICA, PROBABILITA' E STATISTICA;;;367520
8012;66989;BIOLOGIA E DIVERSITA' VEGETALE;;;367541
8012;66992;CHIMICA ORGANICA;;;367554
8012;66993;FISICA;;;367564
8012;67002;ANATOMIA COMPARATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367623;;367623
8012;67004;BIOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367639;;367639
8012;67006;MICROBIOLOGIA E VIROLOGIA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367640;;367640
8012;67008;ANATOMIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367657;;367657
8012;67017;BIOCHIMICA CELLULARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367687;;367687
8012;67020;BIOLOGIA UMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367690;;367690
8012;67022;FARMACOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367692;;367692
8012;66619;GENETICA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367698;;367698
8012;67025;METODI MOLECOLARI IN SISTEMATICA ANIMALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/367700;;367700
8012;67120;PIANTE, ALIMENTAZIONE E AMBIENTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/368271;;368271
8012;68586;FILOSOFIA DELLA SCIENZA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/373944;;373944
8012;69576;PRODUTTIVITA' PRIMARIA E SVILUPPO SOSTENIBILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376679;;376679
8012;69577;PRINCIPI DI CONSERVAZIONE BIOLOGICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376680;;376680
8012;70136;IGIENE AMBIENTALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378019;;378019
8012;61431;QUALITA' E SICUREZZA IN LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385147;;385147
8012;445;FISIOLOGIA VEGETALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385151;;385151
8012;72830;ZOOLOGIA MARINA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385152;;385152
8012;72831;AMBIENTE MARINO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385153;;385153
8012;72832;FISIOLOGIA UMANA CON ELEMENTI DI FISIOPATOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385154;;385154
8012;72834;IMMUNOLOGIA E PATOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/385156;;385156
8021;7936;NEUROBIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/322718;;322718
8021;26912;ATTIVITA' PRATICA DI LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/323603;;323603
8021;65820;MICROBIOLOGIA E VIROLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364221;;364221
8021;65822;EPIGENETICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364225;;364225
8021;26337;IDONEITA' LINGUA INGLESE B - 2;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364226;;364226
8021;65824;METODI SPETTROSCOPICI IN BIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364228;;364228
8021;65825;FISIOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/364230;;364230
8021;69341;BIOLOGIA MOLECOLARE DEI PROCARIOTI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376168;;376168
8021;69348;METODI CHIMICO-MOLECOLARI PER LO STUDIO DELLE PROTEINE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/376173;;376173
8021;72568;BIOCHIMICA DELLA SEGNALAZIONE CELLULARE CON LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384347;;384347
8021;72569;BIOLOGIA MOLECOLARE DEGLI EUCARIOTI CON LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384349;;384349
8021;72570;BIOLOGIA E METODOLOGIE MORFOLOGICHE CELLULARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384351;;384351
8021;72575;FISIOLOGIA DEGLI STRESS E DINAMICHE REDOX NELLE PIANTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384356;;384356
8021;18756;BIOLOGIA DELLO SVILUPPO DELLE PIANTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384359;;384359
8021;72576;CHIMICA FISICA PER BIOLOGIA CON LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384360;;384360
8021;72579;GENETICA MOLECOLARE DELLO SVILUPPO CON LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384363;;384363
8021;32492;ATTIVITA' PROPEDEUTICA ALLA PROVA FINALE;;;417520
8021;3033;TOSSICOLOGIA;;;424299
8022;7936;NEUROBIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/326031;;326031
8022;46668;PEPTIDI ED ANALOGHI DI INTERESSE BIOLOGICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/326933;;326933
8022;37416;PRODOTTI E PRODUZIONI NELL'INDUSTRIA CHIMICA/BIOTECNOLOGICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/350596;;350596
8022;66364;NANOBIOTECNOLOGIE E APPLICAZIONI BIOCATALITICHE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365541;;365541
8022;66366;BIOINORGANICA, BIOELETTRONICA E BIOSENSORI CON LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365548;;365548
8022;66371;ONCOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365563;;365563
8022;66375;MICROBIOLOGIA APPLICATA E VIROLOGIA MOLECOLARE CON LABORATORI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365586;;365586
8022;66375;MICROBIOLOGIA APPLICATA E VIROLOGIA MOLECOLARE CON LABORATORI (4);;modulo;394187
8022;66479;CELLULE STAMINALI CON LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365835;;365835
8022;72547;MICROBIOLOGIA INDUSTRIALE APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384306;;384306
8022;69348;METODI CHIMICO-MOLECOLARI PER LO STUDIO DELLE PROTEINE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388353;;388353
8022;75652;BIOCHIMICA INDUSTRIALE E INGEGNERIA PROTEICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/392203;;392203
8022;75653;PRINCIPI DI INGEGNERIA BIOCHIMICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/392242;;392242
8022;75655;IMPIANTI CHIMICI (BIOREATTORI E BIOSEPARAZIONI);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/392260;;392260
8022;82318;BIOCHIMICA CELLULARE E STRUTTURALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413821;;413821
8022;65684;BIOLOGIA MOLECOLARE AVANZATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413822;;413822
8022;82319;GENETICA FUNZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413823;;413823
8022;82320;STRUTTURISTICA PROTEICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413824;;413824
8022;82329;TIROCINIO LM (10 CFU);;;413833
8023;46270;GENETICA UMANA E MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320676;;320676
8023;46110;METODI SPETTROSCOPICI IN BIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320700;;320700
8023;7936;NEUROBIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320701;;320701
8023;18773;RADIAZIONI IONIZZANTI E MATERIA VIVENTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320702;;320702
8023;3033;TOSSICOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320703;;320703
8023;743;ONCOLOGIA SPERIMENTALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/320705;;320705
8023;46107;FISIOLOGIA MOLECOLARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/322439;;322439
8023;66413;CHIMICA ANALITICA CLINICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365698;;365698
8023;66416;IGIENE APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365706;;365706
8023;66424;CHIMICA DEGLI ALIMENTI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/365715;;365715
8023;72701;BIOCHIMICA IN VIVO E SISTEMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384840;;384840
8023;72702;IL SISTEMA QUALITA' IN LABORATORIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384841;;384841
8023;768;PATOLOGIA GENERALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/386032;;386032
8023;76545;BIOLOGIA FORENSE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/395455;;395455
8023;78797;BASI ANATOMICHE E FUNZIONALI DELLA SCIENZA DELL'ALIMENTAZIONE C. I.;;;402315
8023;78798;ANATOMIA ULTRASTRUTTURALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402320;modulo;402320
8023;78799;FISIOLOGIA DELLA NUTRIZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402321;modulo;402321
8023;78800;MICROBIOLOGIA E VIROLOGIA CLINICA APPLICATE C. I.;;;402332
8023;78801;MICROBIOLOGIA CLINICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402339;modulo;402339
8023;66412;VIROLOGIA APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402340;modulo;402340
8023;78803;PARASSITOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402358;;402358
8023;78805;SCIENZA DEL FARMACO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402369;;402369
8023;66812;BIODIVERSITA' UMANA, NUTRIZIONE, SALUTE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402580;;402580
8023;78935;FISIOLOGIA AMBIENTALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402584;;402584
8023;78936;METODI SPETTROSCOPICI IN BIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/402586;;402586
8023;82302;ANTROPOLOGIA MOLECOLARE APPLICATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/413799;;413799
8023;82306;PROVA FINALE LM (30 CFU);;;413806
8023;82317;PREPARAZIONE PROVA FINALE ALL'ESTERO LM (20CFU);;;413828
8036;68407;BIOCHIMICA DELL'ATTIVIT?Ç SPORTIVA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/346461;;346461
8036;68405;ANALISI DELLA PRESTAZIONE DI GARA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/373247;;373247
8036;9454;BIOINGEGNERIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384819;;384819
8036;72692;CINESIOLOGIA SPECIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384821;;384821
8036;30889;FISIOLOGIA APPLICATA ALL'ATTIVIT?Ç MOTORIA PREVENTIVA E ADATTATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384822;;384822
8036;72693;FISIOPATOLOGIA DELLE ATTIVIT?Ç MOTORIE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384823;;384823
8036;1228;CARDIOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384825;;384825
8036;72694;ATTIVIT?Ç MOTORIA PREVENTIVA E ADATTATA E NEUROLOGIA C.I.;;;384826
8036;30935;T.T.D. DELL'ATTIVIT?Ç MOTORIA ADATTATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384827;modulo;384827
8036;39666;NEUROLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384828;modulo;384828
8036;72696;SOCIOLOGIA DEI PROCESSI CULTURALI E COMUNICATIVI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384831;;384831
8036;72698;EPIDEMIOLOGIA E FARMACOLOGIA C.I.;;;384835
8036;351;FARMACOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384836;modulo;384836
8036;30924;METODOLOGIA EPIDEMIOLOGICA E IGIENE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384837;modulo;384837
8036;72700;PEDAGOGIA SPECIALE E PSICOLOGIA SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384839;;384839
8036;73886;RESEARCH METHODOLOGY APPLIED TO EXERCISE AND SPORT;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/387942;;387942
8036;736;NEUROPSICHIATRIA INFANTILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/393922;;393922
8036;78151;PRASSEOLOGIA MOTORIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400919;;400919
8036;78152;PSICOLOGIA COGNITIVA DELLO SPORT;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400920;;400920
8036;78153;PSICOLOGIA COGNITIVA DELLO SPORT E PRASSEOLOGIA MOTORIA C.I.;;;400921
8036;78154;PRASSEOLOGIA MOTORIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400922;modulo;400922
8036;26124;PSICOLOGIA COGNITIVA DELLO SPORT;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400923;modulo;400923
8036;78458;MALATTIE DELL'APPARATO LOCOMOTORE E MEDICINA FISICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401424;;401424
8036;78492;T.T. DELL'ESERCIZIO FISICO ADATTATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/401430;;401430
8036;78492;T.T. DELL'ESERCIZIO FISICO ADATTATO (4);;modulo;414715
8036;82337;Tirocinio 2 LM (10 CFU);;;413844
8036;82344;Prova finale LM (4 CFU);;;413850
8036;82308;PREPARAZIONE PROVA FINALE LM (12 CFU);;;413856
8037;27083;PROVA FINALE LM;;;329301
8037;68405;ANALISI DELLA PRESTAZIONE DI GARA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/346184;;346184
8037;68407;BIOCHIMICA DELL'ATTIVIT?Ç SPORTIVA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/372193;;372193
8037;40224;BIOINGEGNERIA ELETTRONICA E INFORMATICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384842;;384842
8037;72704;NUTRIZIONE E FARMACOLOGIA NELLO SPORT;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384844;;384844
8037;11050;FISIOLOGIA DELLO SPORT;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384845;;384845
8037;72706;SCIENZA E TECNICA DEGLI SPORT NATATORI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384851;;384851
8037;31998;MEDICINA DELLO SPORT LM;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384852;;384852
8037;72707;DIRITTO PRIVATO DELLO SPORT E GESTIONE DELLE IMPRESE SPORTIVE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384853;;384853
8037;65962;SCIENZA E TECNICA DEGLI SPORT DI SQUADRA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384854;;384854
8037;65963;SCIENZA E TECNICA DEGLI SPORT INDIVIDUALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384855;;384855
8037;72708;SCIENZA E TECNICA DELLO SPORT PER DISABILI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/384856;;384856
8037;736;NEUROPSICHIATRIA INFANTILE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/386786;;386786
8037;73886;RESEARCH METHODOLOGY APPLIED TO EXERCISE AND SPORT;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388403;;388403
8037;73877;ANALISI DELLA PRESTAZIONE DI GARA E METODOLOGIA DELLA RICERCA C. I.;;;388404
8037;36312;ANALISI DELLA PRESTAZIONE DI GARA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388405;modulo;388405
8037;73886;RESEARCH METHODOLOGY APPLIED TO EXERCISE AND SPORT;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388406;modulo;388406
8037;77999;EDUCAZIONE SPORTIVA E PSICOLOGIA DELLA COMUNICAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400747;;400747
8037;78157;PRASSEOLOGIA MOTORIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/400930;;400930
