corso_codice;materia_codice;materia_descrizione;url;tipo;docente_codice;docente_nome;lingua;e-learning;componente_id;componente_padre;componente_radice;componente_mutuazione
659;536;ISTITUZIONI DI DIRITTO ROMANO;;;;;;;204263;0;204263;
659;536;ISTITUZIONI DI DIRITTO ROMANO (A-C) (1);;modulo;30117;Luchetti Giovanni;Italiano;;394619;204797;204263;
659;536;ISTITUZIONI DI DIRITTO ROMANO (A-C) (2);;modulo;37515;Pontoriero Ivano;;;394620;204797;204263;
659;24331;STORIA DEL DIRITTO MEDIOEVALE E MODERNO;;;;;;;204264;0;204264;
659;256;ECONOMIA POLITICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204265;;34768;Leoncini Riccardo;Italiano;;204265;0;204265;402819
659;222;DIRITTO COSTITUZIONALE;;;;;;;204267;0;204267;
659;385;FILOSOFIA DEL DIRITTO;;;;;;;204268;0;204268;
659;230;DIRITTO INTERNAZIONALE;;;;;;;204270;0;204270;
659;230;DIRITTO INTERNAZIONALE (R-Z) (1);;modulo;31642;Balboni Marco;Italiano;;418871;333803;204270;
659;230;DIRITTO INTERNAZIONALE (R-Z) (2);;modulo;42758;Farnelli Gian Maria;;;418872;333803;204270;
659;224;DIRITTO DEL LAVORO;;;;;;;204271;0;204271;
659;224;DIRITTO DEL LAVORO (A-C) (1);;modulo;32844;Mainardi Sandro;Italiano;;414671;311375;204271;
659;224;DIRITTO DEL LAVORO (A-C) (2);;modulo;38565;Navilli Monica;;;414672;311375;204271;
659;224;DIRITTO DEL LAVORO (R-Z) (1);;modulo;30205;Focareta Franco;Italiano;;401873;368733;204271;401873
659;224;DIRITTO DEL LAVORO (R-Z) (2);;modulo;39964;Martelloni Federico;;;401874;368733;204271;
659;221;DIRITTO COMMERCIALE;;;;;;;204272;0;204272;
659;221;DIRITTO COMMERCIALE (D-L) (1);;modulo;30698;Vella Francesco;Italiano;;394565;311388;204272;394565
659;221;DIRITTO COMMERCIALE (D-L) (2);;modulo;40747;Ricciardiello Edgardo;;;394566;311388;204272;
659;221;DIRITTO COMMERCIALE (R-Z) (1);;modulo;41659;Calandra Buonaura Vincenzo;Italiano;;394560;311386;204272;
659;221;DIRITTO COMMERCIALE (R-Z) (2);;modulo;41659;Calandra Buonaura Vincenzo;Italiano;;421021;311386;204272;
659;221;DIRITTO COMMERCIALE (R-Z) (3);;modulo;35846;Guidotti Rolandino Guido;;;394561;311386;204272;
659;236;DIRITTO PUBBLICO COMPARATO;;;;;;;204273;0;204273;
659;236;DIRITTO PUBBLICO COMPARATO (A-L) (1);;modulo;31278;Mancini Susanna;Italiano;;414685;204780;204273;
659;236;DIRITTO PUBBLICO COMPARATO (A-L) (2);;modulo;34990;Ferioli Elena;;;414686;204780;204273;
659;232;DIRITTO PRIVATO COMPARATO;;;;;;;204274;0;204274;
659;232;DIRITTO PRIVATO COMPARATO (M-Z) (1);;modulo;31093;Timoteo Marina;Italiano;;401508;387555;204274;
659;232;DIRITTO PRIVATO COMPARATO (M-Z) (2);;modulo;39482;Carpi Angela;;;401509;387555;204274;
659;225;DIRITTO DELLA NAVIGAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204275;;15988;Zunarelli Stefano;Italiano;;204275;0;204275;
659;1621;DIRITTO FINANZIARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204276;;36987;Mondini Andrea;Italiano;;204276;0;204276;
659;1261;DIRITTO DI FAMIGLIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204278;;35868;Campione Riccardo;Italiano;;204278;0;204278;
659;1261;DIRITTO DI FAMIGLIA (1);;modulo;35868;Campione Riccardo;Italiano;;414687;204278;204278;
659;1261;DIRITTO DI FAMIGLIA (2);;modulo;15651;Sesta Michele;;;414688;204278;204278;
659;942;STORIA DEL DIRITTO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204280;;30117;Luchetti Giovanni;Italiano;;204280;0;204280;204280
659;3317;ISTITUZIONI DI DIRITTO PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204281;;34200;Manes Vittorio;Italiano;;204281;0;204281;
659;3575;SOCIOLOGIA DEL DIRITTO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204282;;32789;Pellegrini Stefania;Italiano;;204282;0;204282;
659;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204284;;16681;Nuti Giovanetti Fabio;Italiano;;204284;0;204284;
659;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE (1);;modulo;16681;Nuti Giovanetti Fabio;Italiano;;394595;204284;204284;394595
659;45070;ECONOMIA DELL'IMPRESA E DELL'INNOVAZIONE (2);;modulo;81536;Coco Francesco;;;394596;204284;204284;
659;46818;DIRITTI FONDAMENTALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204285;;30469;Mezzetti Luca;Italiano;;204285;0;204285;
659;233;DIRITTO PROCESSUALE CIVILE;;;;;;;204286;0;204286;
659;233;DIRITTO PROCESSUALE CIVILE (D-L) (1);;modulo;31985;Zucconi Galli Fonseca Elena;Italiano;;394591;334021;204286;
659;233;DIRITTO PROCESSUALE CIVILE (D-L) (2);;modulo;34314;Canella Maria Giulia;;;394592;334021;204286;
659;233;DIRITTO PROCESSUALE CIVILE (M-Q) (1);;modulo;37520;Rasia Carlo;Italiano;;416475;334022;204286;
659;233;DIRITTO PROCESSUALE CIVILE (M-Q) (2);;modulo;30179;Brunelli Brunella;;;416476;334022;204286;
659;233;DIRITTO PROCESSUALE CIVILE (R-Z) (1);;modulo;35765;Querzola Lea;Italiano;;414787;334023;204286;
659;233;DIRITTO PROCESSUALE CIVILE (R-Z) (2);;modulo;31566;Zoppellari Mario;;;414788;334023;204286;
659;231;DIRITTO PENALE;;;;;;;204287;0;204287;
659;231;DIRITTO PENALE (D-L) (1);;modulo;32300;Fondaroli Desiree;Italiano;;342400;342342;204287;
659;231;DIRITTO PENALE (D-L) (2);;modulo;39900;Tordini Cagli Silvia;;;342401;342342;204287;
659;231;DIRITTO PENALE (M-Q) (1);;modulo;15236;Mazzacuva Nicola;Italiano;;409647;333757;204287;409647
659;231;DIRITTO PENALE (M-Q) (2);;modulo;50029;Guerini Tommaso;;;409648;333757;204287;
659;231;DIRITTO PENALE (M-Q) (3);;modulo;32466;Mantovani Marco Orlando;;;419865;333757;204287;
659;231;DIRITTO PENALE (R-Z) (1);;modulo;15210;Insolera Gaetano;Italiano;;206921;205846;204287;
659;231;DIRITTO PENALE (R-Z) (2);;modulo;39281;Consorte Francesca;;;206922;205846;204287;
659;9945;INFORMATICA GIURIDICA;;;;;;;204289;0;204289;
659;9945;INFORMATICA GIURIDICA (A-C) (1);;modulo;34488;Palmirani Monica;Italiano;;415009;415005;204289;
659;9945;INFORMATICA GIURIDICA (A-C) (2);;modulo;37610;Rossi Michela;;;415010;415005;204289;
659;9945;INFORMATICA GIURIDICA (D-L) (1);;modulo;33019;Sartor Giovanni;Italiano;;415011;415006;204289;
659;9945;INFORMATICA GIURIDICA (D-L) (2);;modulo;40308;Contissa Giuseppe;;;415012;415006;204289;
659;24614;FONDAMENTI ROMANISTICI DEL DIRITTO EUROPEO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204290;;37627;Mattioli Fabiana;Italiano;;204290;0;204290;
659;24614;FONDAMENTI ROMANISTICI DEL DIRITTO EUROPEO (1);;modulo;37627;Mattioli Fabiana;Italiano;;206938;204290;204290;206938
659;24614;FONDAMENTI ROMANISTICI DEL DIRITTO EUROPEO (2);;modulo;37515;Pontoriero Ivano;;;206939;204290;204290;
659;53513;STORIA DEL DIRITTO MODERNO E CONTEMPORANEO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204291;;39072;Cavina Marco;Italiano;;204291;0;204291;
659;53513;STORIA DEL DIRITTO MODERNO E CONTEMPORANEO (1);;modulo;39072;Cavina Marco;Italiano;;312977;204291;204291;312977
659;53513;STORIA DEL DIRITTO MODERNO E CONTEMPORANEO (2);;modulo;23386;Sarti Nicoletta;;;312978;204291;204291;
659;57802;DIRITTO DELL'UNIONE EUROPEA;;;;;;;204292;0;204292;
659;218;DIRITTO CANONICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204293;;16008;Zanotti Andrea;Italiano;;204293;0;204293;
659;227;DIRITTO ECCLESIASTICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204294;;30764;Cimbalo Giovanni;Italiano;;204294;0;204294;
659;217;DIRITTO AMMINISTRATIVO;;;;;;;204295;0;204295;
659;217;DIRITTO AMMINISTRATIVO (A-C) (1);;modulo;15852;Caia Giuseppe;Italiano;;333735;333734;204295;
659;217;DIRITTO AMMINISTRATIVO (A-C) (2);;modulo;39115;Calcagnile Massimo;;;333736;333734;204295;
659;217;DIRITTO AMMINISTRATIVO (A-C) (3);;modulo;50887;Fantin Andrea;;;378886;333734;204295;
659;217;DIRITTO AMMINISTRATIVO (D-L) (1);;modulo;14638;Mastragostino Franco;Italiano;;401289;333737;204295;401289
659;217;DIRITTO AMMINISTRATIVO (D-L) (2);;modulo;35176;Tubertini Claudia;;;401290;333737;204295;
659;217;DIRITTO AMMINISTRATIVO (D-L) (3);;modulo;50887;Fantin Andrea;;;401356;333737;204295;
659;217;DIRITTO AMMINISTRATIVO (M-Q) (1);;modulo;14291;Carullo Antonio;Italiano;;415056;333738;204295;
659;217;DIRITTO AMMINISTRATIVO (M-Q) (2);;modulo;39945;Di Carlo Marianna;;;415057;333738;204295;
659;217;DIRITTO AMMINISTRATIVO (R-Z) (1);;modulo;31876;Dugato Marco;Italiano;;378891;342334;204295;378891
659;217;DIRITTO AMMINISTRATIVO (R-Z) (2);;modulo;55327;Bonetti Tommaso;;;378892;342334;204295;
659;239;DIRITTO TRIBUTARIO;;;;;;;204296;0;204296;
659;815;PROCEDURA PENALE;;;;;;;204297;0;204297;
659;815;PROCEDURA PENALE (P-Z) (1);;modulo;14374;Illuminati Giulio;Italiano;;418888;334000;204297;
659;815;PROCEDURA PENALE (P-Z) (2);;modulo;14374;Illuminati Giulio;;;418889;334000;204297;
659;24629;DIRITTO COSTITUZIONALE AVANZATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204298;;33514;Morrone Andrea;Italiano;;204298;0;204298;204298
659;216;DIRITTO AGRARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204300;;30579;Sgarbanti Giulio;Italiano;;204300;0;204300;
659;3607;DIRITTO PENALE COMMERCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204301;;15236;Mazzacuva Nicola;Italiano;;204301;0;204301;
659;3607;DIRITTO PENALE COMMERCIALE (1);;modulo;15236;Mazzacuva Nicola;Italiano;;419866;204301;204301;
659;3607;DIRITTO PENALE COMMERCIALE (2);;modulo;32466;Mantovani Marco Orlando;;;419867;204301;204301;
659;30001;DIRITTO DELLA COMUNICAZIONE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204303;;34324;Grazzini Barbara;Italiano;;204303;0;204303;
659;1892;DIRITTO PENITENZIARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204304;;34191;Bertaccini Davide;Italiano;;204304;0;204304;
659;228;DIRITTO FALLIMENTARE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204306;;33325;Lupoi Michele Angelo;Italiano;;204306;0;204306;
659;228;DIRITTO FALLIMENTARE (1);;modulo;33325;Lupoi Michele Angelo;Italiano;;378910;204306;204306;
659;228;DIRITTO FALLIMENTARE (2);;modulo;31566;Zoppellari Mario;;;378911;204306;204306;
659;229;DIRITTO INDUSTRIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204307;;31203;Musso Alberto;Italiano;;204307;0;204307;
659;48067;DIRITTO DEI PAESI ASIATICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204308;;31093;Timoteo Marina;Italiano;;204308;0;204308;204308
659;9260;DIRITTO DEI TRASPORTI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204309;;34208;Romagnoli Alessandra;Italiano;;204309;0;204309;
659;12515;DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204310;;31985;Zucconi Galli Fonseca Elena;Italiano;;204310;0;204310;
659;12515;DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE (1);;modulo;31985;Zucconi Galli Fonseca Elena;Italiano;;387716;204310;204310;
659;12515;DIRITTO DELL'ARBITRATO INTERNO E INTERNAZIONALE (2);;modulo;37520;Rasia Carlo;;;387717;204310;204310;
659;48066;ECONOMIA E ISTITUZIONI LOCALI;;;;;;;204312;0;204312;
659;237;DIRITTO PUBBLICO ROMANO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204314;;32004;Bellodi Ansaloni Anna;Italiano;;204314;0;204314;204314
659;49240;DIRITTO PROCESSUALE DELL'UNIONE EUROPEA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204315;;35765;Querzola Lea;Italiano;;204315;0;204315;
659;4472;DIRITTO PROCESSUALE AMMINISTRATIVO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204316;;14638;Mastragostino Franco;Italiano;;204316;0;204316;
659;17234;DIRITTO DEI MERCATI FINANZIARI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204317;;37537;Guizzardi Silvia;Italiano;;204317;0;204317;
659;701;MEDICINA LEGALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204320;;24384;Pelotti Susi;Italiano;;204320;0;204320;
659;701;MEDICINA LEGALE (1);;modulo;24384;Pelotti Susi;Italiano;;415096;204320;204320;415096
659;701;MEDICINA LEGALE (2);;modulo;43373;Salsi Giancarlo;;;415097;204320;204320;
659;2513;CRIMINOLOGIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204321;;14679;Melossi Dario;Italiano;;204321;0;204321;
659;3639;DIRITTO REGIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204322;;34322;Tega Diletta;Italiano;;204322;0;204322;
659;939;STORIA DEL DIRITTO CANONICO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204324;;31031;Boni Geraldina;Italiano;;204324;0;204324;
659;24633;METODOLOGIA GIURIDICA ROMANA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204328;;32004;Bellodi Ansaloni Anna;Italiano;;204328;0;204328;
659;24634;LOGICA E ARGOMENTAZIONE GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204329;;15992;Artosi Alberto;Italiano;;204329;0;204329;
659;24628;LINGUA GIURIDICA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/204354;;39482;Carpi Angela;Italiano;;204354;0;204354;
659;18063;PROCEDURA PENALE EUROPEA E INTERNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/310295;;35788;Caianiello Michele;Italiano;;310295;0;310295;310295
659;9517;DIRITTO DELL'ESECUZIONE PENALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332251;;34214;Vicoli Daniele;Italiano;;332251;0;332251;332251
659;32608;DIRITTO DELLE ASSICURAZIONI PRIVATE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332259;;15907;Franzoni Massimo;Italiano;;332259;0;332259;
659;32608;DIRITTO DELLE ASSICURAZIONI PRIVATE (1);;modulo;15907;Franzoni Massimo;Italiano;;336930;332259;332259;
659;32608;DIRITTO DELLE ASSICURAZIONI PRIVATE (2);;modulo;36594;Riccio Angelo;;;336931;332259;332259;
659;3029;DIRITTO SANITARIO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332260;;14277;Bottari Carlo;Italiano;;332260;0;332260;
659;32612;LAW OF THE EUROPEAN UNION;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332270;;30686;Rossi Lucia Serena;Inglese;;332270;0;332270;332270
659;28557;ECONOMICS;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332283;;34469;Guidetti Giovanni;Inglese;;332283;0;332283;332283
659;32616;PHILOSOPHY OF LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/332286;;35952;Roversi Corrado;Inglese;;332286;0;332286;332286
659;45101;METODOLOGIA E STORIA DEL PENSIERO GIURIDICO DAL MEDIOEVO ALL'ETA MODERNA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/345111;;31817;Padovani Andrea;Italiano;;345111;0;345111;345111
659;48651;INFORMATICA FORENSE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/361598;;34145;Brighi Raffaella;Italiano;;361598;0;361598;
659;48651;INFORMATICA FORENSE (1);;modulo;34145;Brighi Raffaella;Italiano;;387832;361598;361598;
659;48651;INFORMATICA FORENSE (2);;modulo;37875;Gammarota Antonio;;;387833;361598;361598;
659;61531;DIRITTO DEGLI APPALTI PUBBLICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369916;;30944;Aicardi Nicola;Italiano;;369916;0;369916;
659;41321;DIRITTO DEGLI ENTI LOCALI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369917;;35176;Tubertini Claudia;Italiano;;369917;0;369917;
659;37469;ETICA APPLICATA: BIOETICA E ETICA DELLE PROFESSIONI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369919;;15172;Faralli Carla;Italiano;;369919;0;369919;
659;37469;ETICA APPLICATA: BIOETICA E ETICA DELLE PROFESSIONI (1);;modulo;15172;Faralli Carla;Italiano;;369951;369919;369919;369951
659;37469;ETICA APPLICATA: BIOETICA E ETICA DELLE PROFESSIONI (2);;modulo;32789;Pellegrini Stefania;;;369952;369919;369919;
659;37770;MAFIE E ANTIMAFIA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/369934;;32789;Pellegrini Stefania;Italiano;;369934;0;369934;
659;31658;DIRITTO DEI PAESI ISLAMICI;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377457;;30469;Mezzetti Luca;Italiano;;377457;0;377457;377457
659;69910;ANALISI COMPARATA DEI DIRITTI A BASE RELIGIOSA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377459;;16008;Zanotti Andrea;Italiano;;377459;0;377459;
659;69917;DIRITTO DEL LAVORO COMPARATO E TRANSNAZIONALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377465;;33459;Zoli Carlo;Italiano;;377465;0;377465;
659;69917;DIRITTO DEL LAVORO COMPARATO E TRANSNAZIONALE (1);;modulo;33459;Zoli Carlo;Italiano;;394571;377465;377465;
659;69917;DIRITTO DEL LAVORO COMPARATO E TRANSNAZIONALE (2);;modulo;46939;Villa Ester;;;394572;377465;377465;
659;2589;DIRITTO DELLA SICUREZZA SOCIALE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377466;;32615;Pizzoferrato Alberto;Italiano;;377466;0;377466;
659;69918;INFORMATION TECHNOLOGY AND LAW;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377467;;33019;Sartor Giovanni;Inglese;;377467;0;377467;
659;69918;INFORMATION TECHNOLOGY AND LAW (1);;modulo;33019;Sartor Giovanni;Inglese;;415223;377467;377467;415088
659;69918;INFORMATION TECHNOLOGY AND LAW (2);;modulo;34488;Palmirani Monica;;;415224;377467;377467;415089
659;1855;DIRITTO INTERNAZIONALE PRIVATO;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377469;;15803;Zanobetti Alessandra;Italiano;;377469;0;377469;
659;69926;COMPARATIVE CONSTITUTIONALISM;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/377494;;31278;Mancini Susanna;Inglese;;377494;0;377494;377494
659;70342;DIRITTO COSTITUZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378789;;34318;Giupponi Tomaso Francesco;Italiano;;378789;0;378789;204756
659;70344;DIRITTO PRIVATO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378794;;30577;Berti Carlo;Italiano;;378794;0;378794;394552
659;70376;ECONOMIA POLITICA (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378946;;34768;Leoncini Riccardo;Italiano;;378946;0;378946;402819
659;70377;ISTITUZIONI DI DIRITTO ROMANO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378947;;33134;Briguglio Filippo;Italiano;;378947;0;378947;204798
659;70378;STORIA DEL DIRITTO MEDIOEVALE E MODERNO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378948;;39072;Cavina Marco;Italiano;;378948;0;378948;204817
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378949;;40701;Sinopoli Laurence;;;378949;0;378949;
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F) (1);;modulo;40701;Sinopoli Laurence;;;380215;378949;378949;
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F) (2);;modulo;;;;;380216;378949;378949;
659;70379;INTRODUZIONE AL DIRITTO PRIVATO E PENALE FRANCESE (F) (3);;modulo;;;;;380217;378949;378949;
659;70395;DIRITTO AMMINISTRATIVO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378984;;31876;Dugato Marco;Italiano;;378984;0;378984;378891
659;70396;DIRITTO DEL LAVORO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378985;;30205;Focareta Franco;Italiano;;378985;0;378985;401873
659;70397;PROCEDURA PENALE EUROPEA E INTERNAZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378986;;35788;Caianiello Michele;Italiano;;378986;0;378986;310295
659;70398;DIRITTO CIVILE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378987;;16669;Memmo Daniela;Italiano;;378987;0;378987;394557
659;70401;DIRITTO PENALE II (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378988;;34214;Vicoli Daniele;Italiano;;378988;0;378988;332251
659;70402;DIRITTO INTERNAZIONALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/378989;;15803;Zanobetti Alessandra;Italiano;;378989;0;378989;204765
659;70403;STORIA DEL DIRITTO ROMANO (F);;;;;;;378991;0;378991;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383259;;;;;;383259;0;383259;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F) (1);;modulo;;;;;388845;383259;383259;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F) (2);;modulo;;;;;388846;383259;383259;
659;71803;INTRODUZIONE AL DIRITTO PUBBLICO FRANCESE (F) (3);;modulo;;;;;388847;383259;383259;
659;71797;PROCEDURA PENALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383390;;35788;Caianiello Michele;Italiano;;383390;0;383390;333999
659;71880;CRIME, PUNISHMENT AND SOCIETY;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383394;;14679;Melossi Dario;Inglese;;383394;0;383394;383394
659;71881;PROCEDURA PENALE AVANZATA;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/383395;;34214;Vicoli Daniele;Italiano;;383395;0;383395;383395
659;71802;DIRITTO COMMERCIALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388669;;30698;Vella Francesco;Italiano;;388669;0;388669;394565
659;71798;DIRITTO DELL'UNIONE EUROPEA (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388670;;40703;Casolari Federico;Italiano;;388670;0;388670;378917
659;71796;DIRITTO PENALE (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388674;;15236;Mazzacuva Nicola;Italiano;;388674;0;388674;409647
659;35648;DIRITTO PROCESSUALE CIVILE E ORDINAMENTO GIUDIZIARIO FRANCESE;http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388683;;15854;Biavati Paolo;Italiano;;388683;0;388683;
659;35648;DIRITTO PROCESSUALE CIVILE E ORDINAMENTO GIUDIZIARIO FRANCESE (1);;modulo;15854;Biavati Paolo;Italiano;;388686;388683;388683;334020
659;35648;DIRITTO PROCESSUALE CIVILE E ORDINAMENTO GIUDIZIARIO FRANCESE (2);;modulo;87653;Guerin Bargues Cecile;;;388687;388683;388683;
659;35648;DIRITTO PROCESSUALE CIVILE E ORDINAMENTO GIUDIZIARIO FRANCESE (3);;modulo;;;;;388688;388683;388683;
659;73950;STORIA DEL DIRITTO MODERNO E CONTEMPORANEO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388693;;39072;Cavina Marco;Italiano;;388693;0;388693;312977
659;73951;FONDAMENTI ROMANISTICI DEL DIRITTO EUROPEO (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388694;;37627;Mattioli Fabiana;Italiano;;388694;0;388694;206938
659;73955;DIRITTO AMMINISTRATIVO II (F);http://www.unibo.it/it/didattica/insegnamenti/insegnamento/2016/388698;;14638;Mastragostino Franco;Italiano;;388698;0;388698;401289
